Player,salary,inf_adj_salary,year
Kobe Bryant,30453000.0,38644129.0,2014
Dirk Nowitzki,22721381.0,28832889.0,2014
Gilbert Arenas,22346536.0,28357220.0,2014
Amare Stoudemire,21679893.0,27511266.0,2014
Carmelo Anthony,21490000.0,27270296.0,2014
Joe Johnson,21466718.0,27240752.0,2014
Dwight Howard,20513178.0,26030733.0,2014
Pau Gasol,19285850.0,24473283.0,2014
Chris Bosh,19067500.0,24196202.0,2014
LeBron James,19067500.0,24196202.0,2014
Kevin Durant,18773176.0,23822712.0,2014
Chris Paul,18668431.0,23689793.0,2014
Dwyane Wade,18536000.0,23521741.0,2014
Deron Williams,18466130.0,23433078.0,2014
Rudy Gay,17888932.0,22700627.0,2014
Zach Randolph,17800000.0,22587774.0,2014
Brandon Roy,17779458.0,22561707.0,2014
Derrick Rose,17632688.0,22375460.0,2014
Blake Griffin,16402500.0,20814380.0,2014
Paul Pierce,15333334.0,19457634.0,2014
Carlos Boozer,15300000.0,19415334.0,2014
Marc Gasol,14860523.0,18857648.0,2014
Brook Lopez,14694000.0,18646335.0,2014
Kevin Love,14693906.0,18646215.0,2014
Russell Westbrook,14693906.0,18646215.0,2014
Emeka Okafor,14544687.0,18456860.0,2014
Danny Granger,14379240.0,18246912.0,2014
Luol Deng,14312125.0,18161744.0,2014
Roy Hibbert,14283844.0,18125856.0,2014
Eric Gordon,14283844.0,18125856.0,2014
Andrew Bogut,14200000.0,18019460.0,2014
Tyson Chandler,14100538.0,17893246.0,2014
LaMarcus Aldridge,14100000.0,17892563.0,2014
Josh Smith,14000000.0,17765665.0,2014
David Lee,13878000.0,17610850.0,2014
James Harden,13668750.0,17345317.0,2014
Al Jefferson,13500000.0,17131177.0,2014
Ben Gordon,13200000.0,16750484.0,2014
Nenê,13000000.0,16496689.0,2014
Andre Iguodala,12868632.0,16329986.0,2014
Tony Parker,12500000.0,15862201.0,2014
Serge Ibaka,12250000.0,15544957.0,2014
Nikola Pekovic,12100000.0,15354611.0,2014
Al Horford,12000000.0,15227713.0,2014
Rajon Rondo,12000000.0,15227713.0,2014
Kris Humphries,12000000.0,15227713.0,2014
David West,12000000.0,15227713.0,2014
Tyreke Evans,11796247.0,14969155.0,2014
Joakim Noah,11600000.0,14720122.0,2014
Kevin Garnett,11532468.0,14634426.0,2014
Richard Jefferson,11046000.0,14017110.0,2014
Jrue Holiday,11000000.0,13958737.0,2014
Andrea Bargnani,11000000.0,13958737.0,2014
DeAndre Jordan,10986550.0,13941669.0,2014
Nicolas Batum,10920250.0,13857536.0,2014
Ty Lawson,10786517.0,13687832.0,2014
JaVale McGee,10750000.0,13641493.0,2014
Tim Duncan,10361446.0,13148427.0,2014
Danilo Gallinari,10146925.0,12876205.0,2014
Gerald Wallace,10105855.0,12824088.0,2014
Tiago Splitter,10000000.0,12689761.0,2014
Stephen Curry,9887642.0,12547181.0,2014
Paul Millsap,9500000.0,12055273.0,2014
DeMar DeRozan,9500000.0,12055273.0,2014
Metta World Peace,9317280.0,11823405.0,2014
Shawn Marion,9316796.0,11822791.0,2014
Steve Nash,9300500.0,11802112.0,2014
Andray Blatche,9170525.0,11637176.0,2014
Anderson Varejao,9100000.0,11547682.0,2014
Andris Biedrins,9000000.0,11420785.0,2014
Jeff Green,8700000.0,11040092.0,2014
Tyrus Thomas,8694215.0,11032751.0,2014
Jameer Nelson,8600000.0,10913194.0,2014
Thaddeus Young,8600000.0,10913194.0,2014
Charlie Villanueva,8580000.0,10887815.0,2014
Al Harrington,8548107.0,10847342.0,2014
Rodney Stuckey,8500000.0,10786297.0,2014
Kendrick Perkins,8477437.0,10757665.0,2014
Caron Butler,8386992.0,10642891.0,2014
Monta Ellis,8360000.0,10608640.0,2014
Ryan Anderson,8308500.0,10543288.0,2014
Marcus Thornton,8165000.0,10361190.0,2014
Jeff Teague,8000000.0,10151808.0,2014
George Hill,8000000.0,10151808.0,2014
OJ Mayo,8000000.0,10151808.0,2014
Mike Conley,7900000.0,10024911.0,2014
Ersan Ilyasova,7900000.0,10024911.0,2014
Trevor Ariza,7727280.0,9805733.0,2014
Marcin Gortat,7727280.0,9805733.0,2014
Brandon Jennings,7655503.0,9714650.0,2014
Mike Miller,7599507.0,9643591.0,2014
John Salmons,7580000.0,9618838.0,2014
Arron Afflalo,7562500.0,9596631.0,2014
Taj Gibson,7550000.0,9580769.0,2014
Goran Dragic,7500000.0,9517320.0,2014
Marvin Williams,7500000.0,9517320.0,2014
John Wall,7459924.0,9466465.0,2014
Josh Childress,7405833.0,9397824.0,2014
Tayshaun Prince,7235955.0,9182254.0,2014
Drew Gooden,7091619.0,8999094.0,2014
Brendan Haywood,7073500.0,8976102.0,2014
Michael Beasley,7027424.0,8917632.0,2014
Andrew Bynum,7000000.0,8882832.0,2014
Manu Ginobili,7000000.0,8882832.0,2014
Wesley Matthews,6875480.0,8724819.0,2014
Jose Calderon,6791570.0,8618340.0,2014
Kyle Korver,6760563.0,8578993.0,2014
Brandon Bass,6750000.0,8565588.0,2014
Glen Davis,6750000.0,8565588.0,2014
Carl Landry,6750000.0,8565588.0,2014
Evan Turner,6679866.0,8476590.0,2014
Hidayet Turkoglu,6650359.0,8439146.0,2014
Spencer Hawes,6500000.0,8248344.0,2014
JJ Redick,6500000.0,8248344.0,2014
Kevin Martin,6500000.0,8248344.0,2014
Amir Johnson,6500000.0,8248344.0,2014
Channing Frye,6400000.0,8121447.0,2014
Wilson Chandler,6344164.0,8050592.0,2014
Jarrett Jack,6300000.0,7994549.0,2014
Chris Andersen,6217507.0,7889866.0,2014
Kyle Lowry,6210000.0,7880341.0,2014
Jason Richardson,6204250.0,7873045.0,2014
Derrick Favors,6008106.0,7624143.0,2014
Gerald Henderson,6000000.0,7613856.0,2014
Kyrie Irving,5915880.0,7507110.0,2014
Chuck Hayes,5722500.0,7261715.0,2014
Jason Thompson,5643750.0,7161783.0,2014
JR Smith,5565000.0,7061852.0,2014
Anthony Davis,5375760.0,6821711.0,2014
Anthony Bennett,5324280.0,6756384.0,2014
Derrick Williams,5293080.0,6716792.0,2014
Louis Williams,5225000.0,6630400.0,2014
Jeremy Lin,5225000.0,6630400.0,2014
Omer Asik,5225000.0,6630400.0,2014
Jamal Crawford,5225000.0,6630400.0,2014
Courtney Lee,5225000.0,6630400.0,2014
Jason Terry,5225000.0,6630400.0,2014
Landry Fields,5225000.0,6630400.0,2014
Zaza Pachulia,5200000.0,6598675.0,2014
JJ Hickson,5150000.0,6535227.0,2014
Martell Webster,5150000.0,6535227.0,2014
Robin Lopez,5119761.0,6496854.0,2014
Keith Bogans,5058198.0,6418732.0,2014
Brandan Wright,5000000.0,6344880.0,2014
Tony Allen,5000000.0,6344880.0,2014
Ramon Sessions,5000000.0,6344880.0,2014
Chase Budinger,5000000.0,6344880.0,2014
Andre Miller,5000000.0,6344880.0,2014
DeMarcus Cousins,4916973.0,6239521.0,2014
Michael Kidd-Gilchrist,4809840.0,6103572.0,2014
Victor Oladipo,4763760.0,6045097.0,2014
Enes Kanter,4753320.0,6031849.0,2014
