player_name,season,team,mp,raptor_offense,raptor_defense,raptor_total,war_total,salary,inf_adj_salary,player_val,3_year_average_val,lr_average_val
Alex Abrines,2017,OKC,1055,0.65,-0.72,-0.07,1.45,5994764.0,7370049.0,5129971.55,5129971.55,5129971.55
Alex Abrines,2018,OKC,1134,-0.21,-1.73,-1.94,0.47,5725000.0,6925273.0,1869239.49,3499605.52,3499605.52
Alex Abrines,2019,OKC,588,-4.04,1.89,-2.15,0.18,3667645.0,4312742.0,765662.94,2588291.33,2588291.33
Precious Achiuwa,2021,MIA,737,-4.11,0.71,-3.4,-0.25,2582160.0,2967925.0,-1310085.61,-1310085.61,-1310085.61
Precious Achiuwa,2022,TOR,1725,-2.52,2.41,-0.11,2.31,2711280.0,2956915.0,11374317.45,5032115.92,5032115.92
Quincy Acy,2014,SAC,786,-1.64,-0.17,-1.81,0.37,788872.0,1001059.0,902824.4,1005935.03,1005935.03
Quincy Acy,2014,TOR,61,-0.6,-0.78,-1.38,0.04,788872.0,1001059.0,103110.63,1005935.03,1005935.03
Quincy Acy,2015,NYK,1287,-2.46,-0.42,-2.88,-0.08,915243.0,1137841.0,-212875.52,396529.76,396529.76
Quincy Acy,2016,SAC,876,-0.59,0.35,-0.23,1.12,981348.0,1218515.0,3153482.61,1315514.04,1315514.04
Quincy Acy,2017,BRK,510,0.17,0.77,0.94,0.96,2965505.0,3645833.0,3404562.51,1967226.48,1726903.62
Quincy Acy,2017,DAL,48,-6.23,-1.61,-7.84,-0.13,2965505.0,3645833.0,-443490.17,1967226.48,1726903.62
Quincy Acy,2018,BRK,1359,-2.21,-0.66,-2.87,-0.08,1709538.0,2067950.0,-325904.06,1929550.3,1316342.08
Quincy Acy,2019,PHO,123,-5.58,4.97,-0.61,0.14,213948.0,251579.0,581148.55,1072105.61,1193809.82
Jaylen Adams,2019,ATL,428,-2.38,-3.73,-6.11,-0.73,236854.0,278513.0,-3152227.39,-3152227.39,-3152227.39
Jaylen Adams,2021,MIL,18,-16.83,-1.41,-18.23,-0.14,449115.0,516211.0,-741060.02,-1946643.7,-1946643.7
Jordan Adams,2015,MEM,248,1.79,0.1,1.89,0.59,1344120.0,1671026.0,1511316.51,1511316.51,1511316.51
Jordan Adams,2016,MEM,15,-7.73,1.42,-6.32,-0.03,1404600.0,1744057.0,-78878.46,716219.02,716219.02
Steven Adams,2014,OKC,1197,-1.04,0.07,-0.97,1.09,2090880.0,2653276.0,2631127.46,2631127.46,2631127.46
Steven Adams,2015,OKC,1771,-1.86,1.97,0.11,2.57,2184960.0,2716369.0,6565261.87,4598194.66,4598194.66
Steven Adams,2016,OKC,2014,0.66,5.29,5.96,8.9,2279040.0,2829828.0,24979274.84,11391888.06,11391888.06
Steven Adams,2017,OKC,2389,-1.74,1.57,-0.17,3.14,3140517.0,3860996.0,11139780.07,14228105.59,11328861.06
Steven Adams,2018,OKC,2487,1.31,1.3,2.61,6.78,22471911.0,27183255.0,27198448.32,21105834.41,14502778.51
Steven Adams,2019,OKC,2669,0.02,1.93,1.95,6.43,24157304.0,28406299.0,27627724.21,21988650.87,16690269.46
Steven Adams,2020,OKC,1680,0.66,1.66,2.32,4.33,25842697.0,29895313.0,21141173.08,25322448.54,17326112.84
Steven Adams,2021,NOP,1605,-0.54,1.04,0.5,2.63,29592695.0,34013743.0,13964218.02,20911038.44,16905875.98
Steven Adams,2022,MEM,1999,1.68,0.62,2.3,5.14,17073171.0,18619958.0,25316242.47,20140544.52,17840361.15
Bam Adebayo,2018,MIA,1368,-2.08,1.29,-0.8,1.35,2490360.0,3012476.0,5411662.1,5411662.1,5411662.1
Bam Adebayo,2019,MIA,1913,-1.88,2.68,0.8,3.45,2955840.0,3475738.0,14831419.02,10121540.56,10121540.56
Bam Adebayo,2020,MIA,2417,-0.56,2.15,1.59,5.31,3454080.0,3995744.0,25932908.22,15391996.45,15391996.45
Bam Adebayo,2021,MIA,2143,0.39,1.78,2.17,5.37,5115492.0,5879729.0,28522315.56,23095547.6,18674576.22
Bam Adebayo,2022,MIA,1825,-0.25,4.03,3.78,6.1,28103500.0,30649609.0,30054084.74,28169769.51,20950477.93
Deng Adel,2019,CLE,194,-6.33,0.56,-5.77,-0.3,77250.0,90837.0,-1271550.63,-1271550.63,-1271550.63
Jeff Adrien,2014,CHA,256,-1.42,0.09,-1.32,0.19,916099.0,1162507.0,449591.07,947743.46,947743.46
Jeff Adrien,2014,MIL,705,0.77,-2.94,-2.17,0.21,916099.0,1162507.0,498152.39,947743.46,947743.46
Jeff Adrien,2015,MIN,215,-1.04,0.92,-0.12,0.29,1217698.0,1513856.0,736632.12,842187.79,842187.79
Arron Afflalo,2014,ORL,2552,1.22,-3.02,-1.8,1.23,7562500.0,9596631.0,2979469.63,2979469.63,2979469.63
Arron Afflalo,2015,DEN,1750,-0.74,-1.54,-2.29,0.41,7562500.0,9401794.0,1047876.49,2153819.34,2153819.34
Arron Afflalo,2015,POR,752,-0.87,-1.59,-2.46,0.11,7562500.0,9401794.0,280292.56,2153819.34,2153819.34
Arron Afflalo,2016,NYK,2371,-0.63,-2.48,-3.11,-0.42,8000000.0,9933405.0,-1191413.81,1038741.62,1038741.62
Arron Afflalo,2017,SAC,1580,-1.25,-4.76,-6.01,-2.59,12500000.0,15367680.0,-9188451.05,-3017231.94,-1518056.55
Arron Afflalo,2018,ORL,682,-2.86,-1.52,-4.38,-0.56,5328652.0,6445829.0,-2255717.31,-4211860.72,-1665588.7
Alexis Ajinca,2014,NOP,951,-2.05,-0.75,-2.81,-0.03,635880.0,806916.0,-67968.25,-67968.25,-67968.25
Alexis Ajinca,2015,NOP,957,-0.57,1.49,0.92,1.79,981084.0,1219695.0,4582100.68,2257066.22,2257066.22
Alexis Ajinca,2016,NOP,861,-3.44,1.29,-2.15,0.26,4539607.0,5636719.0,737758.02,1750630.15,1750630.15
Alexis Ajinca,2017,NOP,584,-4.44,1.23,-3.21,-0.14,4863206.0,5978895.0,-483032.62,1612275.36,1192214.46
DeVaughn Akoon-Purcell,2019,DEN,22,-2.23,-1.02,-3.25,-0.01,77250.0,90837.0,-23874.75,-23874.75,-23874.75
Furkan Aldemir,2015,PHI,540,-0.32,-1.66,-1.98,0.21,2810305.0,3493806.0,542110.67,542110.67,542110.67
Cole Aldrich,2014,NYK,330,-0.51,3.9,3.39,1.03,884293.0,1122146.0,2488093.22,2488093.22,2488093.22
Cole Aldrich,2015,NYK,976,-2.79,1.46,-1.33,0.71,981084.0,1219695.0,1813426.17,2150759.7,2150759.7
Cole Aldrich,2016,LAC,800,-1.56,2.53,0.97,1.53,1100602.0,1366590.0,4284296.01,2861938.47,2861938.47
Cole Aldrich,2017,MIN,531,-2.04,-0.17,-2.21,0.14,7643979.0,9397617.0,511911.76,2203211.31,2274431.79
Cole Aldrich,2018,MIN,49,-6.29,-4.68,-10.98,-0.21,7300000.0,8830480.0,-825924.03,1323427.91,1654360.63
LaMarcus Aldridge,2014,POR,2498,1.14,2.23,3.37,7.72,14100000.0,17892563.0,18675339.94,18675339.94,18675339.94
LaMarcus Aldridge,2015,POR,2512,2.42,1.87,4.29,8.94,15200000.0,18896830.0,22837785.43,20756562.69,20756562.69
LaMarcus Aldridge,2016,SAS,2261,0.82,1.5,2.33,5.79,19689000.0,24447352.0,16252258.45,19255127.94,19255127.94
LaMarcus Aldridge,2017,SAS,2335,-0.91,1.66,0.74,4.09,20575005.0,25295207.0,14477589.6,17855877.83,18060743.36
LaMarcus Aldridge,2018,SAS,2509,2.62,1.45,4.07,8.58,21461010.0,25960414.0,34433337.18,21721061.74,21335262.12
LaMarcus Aldridge,2019,SAS,2687,0.75,1.24,1.99,6.41,22347015.0,26277600.0,27557262.26,25489396.35,22372262.14
LaMarcus Aldridge,2020,SAS,1754,-0.66,0.78,0.12,2.53,26000000.0,30077284.0,12357678.89,24782759.44,20941607.39
LaMarcus Aldridge,2021,BRK,130,0.15,1.02,1.17,0.26,17628340.0,20261954.0,1373436.41,13008280.98,18212644.19
LaMarcus Aldridge,2021,SAS,544,-3.01,-1.28,-4.29,-0.43,17628340.0,20261954.0,-2263534.62,13008280.98,18212644.19
LaMarcus Aldridge,2022,BRK,1050,-0.24,1.83,1.59,2.32,2641691.0,2881021.0,11423107.21,7630229.3,17458251.19
Cliff Alexander,2016,POR,36,-6.35,2.9,-3.46,-0.01,525093.0,651995.0,-36178.59,-36178.59,-36178.59
