Team,salary,inf_adj_salary,year
Brooklyn,102589967.0,130184212.0,2014
New York,89072787.0,113031231.0,2014
Miami,80841617.0,102586074.0,2014
LA Lakers,77423614.0,98248706.0,2014
Dallas,75012158.0,95188628.0,2014
Chicago,73336893.0,93062756.0,2014
LA Clippers,73049774.0,92698411.0,2014
Golden State,72503122.0,92004723.0,2014
Memphis,71992885.0,91357243.0,2014
Oklahoma City,71653401.0,90926444.0,2014
Toronto,71561643.0,90810007.0,2014
Boston,70885503.0,89952004.0,2014
Minnesota,68564040.0,87006120.0,2014
New Orleans,67358651.0,85476509.0,2014
Indiana,67182414.0,85252870.0,2014
Cleveland,66654061.0,84582401.0,2014
Denver,65782065.0,83475862.0,2014
Washington,64698822.0,82101251.0,2014
San Antonio,63115911.0,80092576.0,2014
Detroit,62387432.0,79168155.0,2014
Portland,61260350.0,77737913.0,2014
Charlotte,60395651.0,76640630.0,2014
Sacramento,59174155.0,75090582.0,2014
Atlanta,58998677.0,74867903.0,2014
Houston,57823063.0,73376078.0,2014
Orlando,56948031.0,72265682.0,2014
Utah,56911999.0,72219960.0,2014
Phoenix,55569468.0,70516321.0,2014
Milwaukee,54400846.0,69033363.0,2014
Philadelphia,51741312.0,65658478.0,2014
Brooklyn,87817289.0,109175545.0,2015
LA Clippers,85259447.0,105995602.0,2015
Dallas,84820225.0,105449557.0,2015
Cleveland,82592827.0,102680427.0,2015
New York,81369219.0,101159224.0,2015
Toronto,81317963.0,101095502.0,2015
Oklahoma City,80408520.0,99964871.0,2015
New Orleans,80012866.0,99472985.0,2015
LA Lakers,77546500.0,96406770.0,2015
Houston,76849302.0,95540004.0,2015
Miami,75813041.0,94251712.0,2015
Memphis,75158730.0,93438263.0,2015
Indiana,74793526.0,92984242.0,2015
Golden State,73611166.0,91514313.0,2015
Sacramento,73379071.0,91225769.0,2015
Washington,73372974.0,91218191.0,2015
San Antonio,70770209.0,87982400.0,2015
Portland,69936842.0,86946352.0,2015
Minnesota,69378954.0,86252775.0,2015
Chicago,67414682.0,83810770.0,2015
Detroit,67410675.0,83805787.0,2015
Charlotte,66792937.0,83037806.0,2015
Boston,62218516.0,77350827.0,2015
Utah,60847538.0,75646410.0,2015
Orlando,59629210.0,74131770.0,2015
Atlanta,58320278.0,72504493.0,2015
Phoenix,58018672.0,72129532.0,2015
Denver,56820307.0,70639707.0,2015
Milwaukee,54473275.0,67721849.0,2015
Philadelphia,54355571.0,67575510.0,2015
Cleveland,108300458.0,134474038.0,2016
LA Clippers,97019321.0,120466523.0,2016
Oklahoma City,95708387.0,118838769.0,2016
Golden State,93669566.0,116307216.0,2016
San Antonio,87832839.0,109059892.0,2016
Houston,87504058.0,108651651.0,2016
Chicago,87073838.0,108117461.0,2016
Miami,85764781.0,106492035.0,2016
Washington,85055155.0,105610907.0,2016
New Orleans,83709371.0,103939877.0,2016
Memphis,83223881.0,103337057.0,2016
Brooklyn,80258302.0,99654772.0,2016
Detroit,77256014.0,95926904.0,2016
Boston,77141919.0,95785236.0,2016
Charlotte,76860006.0,95435193.0,2016
Dallas,75397067.0,93618697.0,2016
New York,74237021.0,92178295.0,2016
Milwaukee,73843541.0,91689719.0,2016
LA Lakers,72694352.0,90262802.0,2016
Denver,72589023.0,90132013.0,2016
